ID,Group,DiedDuring,Died,Date,Pen,Location,Mated,DurationCop,MM,MU,Weight,EB,TI
99,1,N,1,5/31/2021,1,A,0,,0,0,656,-5.331636773,-2.772178405
101,1,Y,0.5,5/31/2021,1,A,0,,0,0,643,-6.34201507,-2.951297041
126,1,N,1,5/31/2021,1,A,0,,2,0,546,-5.119370305,-2.499072153
128,1,N,1,5/31/2021,1,A,1,18,0,0,644,-6.350689682,-3.013170692
134,1,N,1,5/31/2021,1,A,1,270,2,1,552,-6.679551355,-3.550902743
135,1,N,1,5/31/2021,1,A,0,,0,0,589,-4.616996059,0.235991709
510,1,N,1,5/31/2021,1,S,0,,0,1,687,-6.066324656,-3.348299953
520,1,N,1,5/31/2021,1,S,0,,0,0,801,-3.276515784,-1.8801726
522,1,N,1,5/31/2021,1,S,0,,0,0,657,-5.931366424,-2.690876463
525,1,N,1,5/31/2021,1,S,0,,0,1,617,-5.582043404,-3.087008848
534,1,N,1,5/31/2021,1,S,0,,0,0,671,-4.434385305,-3.046519538
566,1,N,1,5/31/2021,1,S,0,,0,1,637,-5.840282116,-1.479716014
567,1,N,1,5/31/2021,1,S,0,,0,0,676,-7.365243131,-3.012763191
577,1,N,1,5/31/2021,1,S,0,,0,0,584,-4.197797507,-3.449667809
583,1,Y,0.5,5/31/2021,1,S,0,,0,0,559,-5.478064157,-1.997422667
591,1,N,1,5/31/2021,1,A,0,,0,0,724,-7.453350527,-1.967918177
673,1,N,1,5/31/2021,1,S,0,,2,0,697,-4.927438711,-3.250136759
102,2,N,1,5/31/2021,2,A,0,,0,0,566,-6.565943545,-2.930002297
103,2,N,1,5/31/2021,2,A,0,,0,0,579,-6.036112522,-0.700002772
136,2,N,1,5/31/2021,2,A,0,,0,0,694,-5.574031162,-0.475821889
146,2,N,1,5/31/2021,2,A,0,,0,0,620,-4.273509206,-2.934412652
504,2,N,1,5/31/2021,2,S,0,,1,0,693,-4.820058962,-2.889101222
514,2,N,1,5/31/2021,2,S,1,281,0,0,661,-4.860293839,-3.17090806
517,2,N,1,5/31/2021,2,S,0,,0,0,764,-4.751975763,-3.091795302
527,2,N,1,5/31/2021,2,S,0,,0,0,749,-4.923126634,-2.144979379
531,2,Y,0.5,5/31/2021,2,S,0,,0,0,799,-5.686892764,-3.493930529
535,2,N,1,5/31/2021,2,S,1,208,0,0,753,-4.04970104,-2.162255008
540,2,N,1,5/31/2021,2,S,0,,0,0,792,-5.501095403,-2.770415815
556,2,N,1,5/31/2021,2,S,0,,1,0,714,-5.581853155,-3.207925955
559,2,N,1,5/31/2021,2,S,1,421,0,1,731,-6.482864226,-1.905724181
569,2,Y,0.5,5/31/2021,2,S,0,,0,0,629,-7.240319661,-3.851026299
576,2,N,1,5/31/2021,2,S,1,402,0,0,668,-6.798497999,-3.039837122
630,2,N,1,5/31/2021,2,S,1,285,0,0,606,-4.344722482,-2.648001592
650,2,Y,0.5,5/31/2021,2,S,0,,0,0,582,-6.659425682,-2.540554972
116,3,N,1,5/31/2021,3,A,0,,1,1,604,-3.388707473,-1.420839193
123,3,N,1,5/31/2021,3,A,0,,1,0,524,-8.230178353,-3.242627543
137,3,N,1,5/31/2021,3,A,1,155,0,0,602,-5.324044235,-2.230229963
500,3,N,1,5/31/2021,3,S,1,177,2,0,738,-3.127711345,-2.853050719
502,3,N,1,5/31/2021,3,S,0,,0,1,750,-7.436671932,-3.203487796
507,3,N,1,5/31/2021,3,S,1,238,0,0,746,-5.034033425,-2.211726636
518,3,N,1,5/31/2021,3,S,1,320,0,0,747,-5.873305278,-3.345977101
537,3,Y,0.5,5/31/2021,3,S,0,,0,0,767,-6.642620401,-3.068829328
544,3,N,1,5/31/2021,3,S,0,,0,0,595,-6.040463012,-2.928195261
546,3,N,1,5/31/2021,3,S,0,,0,1,688,-4.623678103,-2.743425569
555,3,N,1,5/31/2021,3,S,0,,2,0,685,-4.531429213,-3.018198408
563,3,N,1,5/31/2021,3,S,0,,0,1,736,-7.39660339,-3.185744558
571,3,N,1,5/31/2021,3,S,0,,0,0,895,-6.361145601,-2.580921407
572,3,N,1,5/31/2021,3,S,0,,0,1,888,-6.000632143,-2.555654349
574,3,N,1,5/31/2021,3,S,0,,2,1,650,-3.261114255,-2.005734701
588,3,N,1,5/31/2021,3,A,1,176,0,0,668,-4.251383588,-2.877387389
593,3,N,1,5/31/2021,3,A,0,,1,1,778,-7.638678551,-3.316157267
107,4,N,1,5/31/2021,4,A,1,22,0,0,637,-4.543995895,-3.263466114
115,4,N,1,5/31/2021,4,A,0,,0,0,561,-5.731895101,-2.970150062
125,4,N,1,5/31/2021,4,A,0,,0,0,546,-7.535901597,-3.058623934
130,4,Y,0.5,5/31/2021,4,A,0,,0,0,654,-7.009833823,-3.303426121
501,4,N,1,5/31/2021,4,S,0,,0,0,783,-6.897094116,-3.027493442
506,4,N,1,5/31/2021,4,S,1,132,1,0,691,-6.687137052,-2.818817461
508,4,N,1,5/31/2021,4,S,0,,0,0,580,-7.250623047,-2.197944375
524,4,N,1,5/31/2021,4,S,1,218,1,0,707,-2.12536741,-2.931468084
533,4,N,1,5/31/2021,4,S,0,,0,1,771,-5.63775579,-2.920321717
553,4,N,1,5/31/2021,4,S,1,242,0,0,765,-3.651292766,-0.892956587
564,4,N,1,5/31/2021,4,S,0,,0,1,715,-4.410096552,-3.638108253
570,4,N,1,5/31/2021,4,S,0,,0,0,776,-6.613722227,-2.849466596
575,4,N,1,5/31/2021,4,S,0,,0,1,924,-4.29393801,-1.69772747
580,4,N,1,5/31/2021,4,S,1,379,0,0,673,-6.227354742,-3.677710525
582,4,N,1,5/31/2021,4,S,0,,1,1,613,-6.32965872,-2.806726286
587,4,Y,0.5,5/31/2021,4,A,0,,0,0,689,-4.096879465,-0.29843087
594,4,N,1,5/31/2021,4,A,0,,1,0,789,-5.662442881,-2.718626401
99,5,N,1,6/1/2021,2,A,0,,0,0,656,-5.331636773,-2.772178405
102,5,N,1,6/1/2021,2,A,0,,0,0,566,-6.565943545,-2.930002297
123,5,N,1,6/1/2021,2,A,0,,0,0,524,-8.230178353,-3.242627543
135,5,N,1,6/1/2021,2,A,1,160,0,1,589,-4.616996059,0.235991709
136,5,N,1,6/1/2021,2,A,0,,0,0,694,-5.574031162,-0.475821889
146,5,N,1,6/1/2021,2,A,0,,0,0,620,-4.273509206,-2.934412652
500,5,N,1,6/1/2021,2,S,0,,1,0,738,-3.127711345,-2.853050719
501,5,N,1,6/1/2021,2,S,0,,0,0,783,-6.897094116,-3.027493442
522,5,N,1,6/1/2021,2,S,0,,0,0,657,-5.931366424,-2.690876463
570,5,N,1,6/1/2021,2,S,0,,0,0,776,-6.613722227,-2.849466596
571,5,N,1,6/1/2021,2,S,0,,0,0,895,-6.361145601,-2.580921407
575,5,N,1,6/1/2021,2,S,0,,1,0,924,-4.29393801,-1.69772747
582,5,N,1,6/1/2021,2,S,0,,0,0,613,-6.32965872,-2.806726286
588,5,N,1,6/1/2021,2,A,1,349,0,0,668,-4.251383588,-2.877387389
593,5,N,1,6/1/2021,2,A,0,,0,0,778,-7.638678551,-3.316157267
630,5,N,1,6/1/2021,2,S,0,,0,0,606,-4.344722482,-2.648001592
673,5,N,1,6/1/2021,2,S,0,,0,0,697,-4.927438711,-3.250136759
103,6,N,1,6/1/2021,3,A,0,,2,0,579,-6.036112522,-0.700002772
115,6,N,1,6/1/2021,3,A,0,,0,0,561,-5.731895101,-2.970150062
126,6,N,1,6/1/2021,3,A,1,151,0,0,546,-5.119370305,-2.499072153
128,6,N,1,6/1/2021,3,A,0,,3,2,644,-6.350689682,-3.013170692
137,6,N,1,6/1/2021,3,A,0,,0,0,602,-5.324044235,-2.230229963
502,6,N,1,6/1/2021,3,S,1,157,0,0,750,-7.436671932,-3.203487796
506,6,N,1,6/1/2021,3,S,1,121,1,2,691,-6.687137052,-2.818817461
517,6,N,1,6/1/2021,3,S,0,,0,0,764,-4.751975763,-3.091795302
520,6,N,1,6/1/2021,3,S,0,,2,0,801,-3.276515784,-1.8801726
525,6,Y,0.5,6/1/2021,3,S,0,,0,0,617,-5.582043404,-3.087008848
535,6,Y,0.5,6/1/2021,3,S,0,,0,0,753,-4.04970104,-2.162255008
540,6,N,1,6/1/2021,3,S,0,,2,0,792,-5.501095403,-2.770415815
556,6,N,1,6/1/2021,3,S,1,165,0,0,714,-5.581853155,-3.207925955
559,6,N,1,6/1/2021,3,S,0,,0,0,731,-6.482864226,-1.905724181
572,6,N,1,6/1/2021,3,S,0,,0,0,888,-6.000632143,-2.555654349
574,6,N,1,6/1/2021,3,S,1,1556,1,0,650,-3.261114255,-2.005734701
594,6,N,1,6/1/2021,3,A,0,,0,2,789,-5.662442881,-2.718626401
107,7,N,1,6/1/2021,4,A,0,,0,0,637,-4.543995895,-3.263466114
125,7,N,1,6/1/2021,4,A,0,,0,0,546,-7.535901597,-3.058623934
134,7,Y,0.5,6/1/2021,4,A,0,,0,0,552,-6.679551355,-3.550902743
507,7,N,1,6/1/2021,4,S,0,,2,0,746,-5.034033425,-2.211726636
508,7,N,1,6/1/2021,4,S,0,,0,0,580,-7.250623047,-2.197944375
518,7,N,1,6/1/2021,4,S,0,,0,1,747,-5.873305278,-3.345977101
524,7,N,1,6/1/2021,4,S,1,281,3,0,707,-2.12536741,-2.931468084
533,7,N,1,6/1/2021,4,S,0,,0,0,771,-5.63775579,-2.920321717
546,7,N,1,6/1/2021,4,S,0,,0,0,688,-4.623678103,-2.743425569
555,7,N,1,6/1/2021,4,S,0,,0,0,685,-4.531429213,-3.018198408
544,7,N,1,6/1/2021,4,S,0,,0,0,595,-6.040463012,-2.928195261
564,7,N,1,6/1/2021,4,S,1,210,0,4,715,-4.410096552,-3.638108253
566,7,N,1,6/1/2021,4,S,0,,0,0,637,-5.840282116,-1.479716014
567,7,N,1,6/1/2021,4,S,0,,0,0,676,-7.365243131,-3.012763191
576,7,N,1,6/1/2021,4,S,0,,0,1,668,-6.798497999,-3.039837122
577,7,N,1,6/1/2021,4,S,0,,0,0,584,-4.197797507,-3.449667809
580,7,N,1,6/1/2021,4,S,0,,0,2,673,-6.227354742,-3.677710525
